Date,Price,Action,TradeShares,Shares,Balance,TotalValue,BaselineValue,Confidence
2012-05-15,58.13448715209961,Hold,0,2677,56.129717092238366,154993.5066754431,150342.61466415806,0.9872727990150452
2012-05-16,56.70661163330078,Hold,0,2677,56.129717092238366,151187.99813234856,146650.83069463377,0.9827215075492859
2012-05-17,57.86250305175781,Hold,0,2677,56.129717092238366,154268.6270876851,149639.39752205592,0.9769047498703003
2012-05-18,55.618709564208984,Hold,0,2677,56.129717092238366,148288.5712821272,143838.0508926073,0.9794792532920837
2012-05-21,56.09468460083008,Hold,0,2677,56.129717092238366,149557.1181857712,145068.68828848458,0.98234623670578
2012-05-22,55.890682220458984,Hold,0,2677,56.129717092238366,149013.420369615,144541.2384459154,0.9827291965484619
2012-05-23,53.78288650512695,Hold,0,2677,56.129717092238366,143395.81960807115,139091.5151819149,0.9783757328987122
2012-05-24,54.80278778076172,Hold,0,2677,56.129717092238366,146114.01385290708,141728.47836975165,0.9775429368019104
2012-05-25,54.39482116699219,Hold,0,2677,56.129717092238366,145026.71988816196,140673.67731392678,0.9764302372932434
2012-05-28,55.48272705078125,Hold,0,2677,56.129717092238366,147926.15690514003,143486.4669788846,0.9719812273979187
2012-05-29,55.958709716796875,Hold,0,2677,56.129717092238366,149194.72414229746,144717.12410062455,0.9731247425079346
2012-05-30,55.55072021484375,Hold,0,2677,56.129717092238366,148107.36917701198,143662.26386721162,0.9767530560493469
2012-05-31,57.86250305175781,Hold,0,2677,56.129717092238366,154268.6270876851,149639.39752205592,0.9742053747177124
2012-06-01,54.32684326171875,Hold,0,2677,56.129717092238366,144845.5482833169,140497.91987732516,0.9799025654792786
2012-06-04,52.01506805419922,Hold,0,2677,56.129717092238366,138684.3107061572,134520.80594834356,0.9870674014091492
2012-06-05,53.170936584472656,Hold,0,2677,56.129717092238366,141764.87866095343,137509.31359817763,0.9888494610786438
2012-06-06,52.898983001708984,Hold,0,2677,56.129717092238366,141040.08040724928,136806.17535952624,0.9896565675735474
2012-06-07,54.25886154174805,Hold,0,2677,56.129717092238366,144664.36651171514,140322.15257779218,0.9889248013496399
2012-06-08,52.966957092285156,Hold,0,2677,56.129717092238366,141221.2418453376,136981.92293319653,0.9866416454315186
2012-06-11,54.66680908203125,Hold,0,2677,56.129717092238366,145751.60964267663,141376.9043189603,0.9744554162025452
2012-06-12,53.98686981201172,Hold,0,2677,56.129717092238366,143939.4665904437,139618.91570982733,0.8828263282775879
2012-06-13,54.39482116699219,Hold,0,2677,56.129717092238366,145026.71988816196,140673.67731392678,0.6790326833724976
2012-06-14,53.85088348388672,Hold,0,2677,56.129717092238366,143577.04204669982,139267.32193317328,0.8556953072547913
2012-06-15,53.10294723510742,Hold,0,2677,56.129717092238366,141583.6765558382,137333.52657278194,0.895675539970398
2012-06-18,54.938777923583984,Hold,0,2677,56.129717092238366,146476.4485634077,142080.08200933703,0.9927957653999329
2012-06-19,54.73481369018555,Hold,0,2677,56.129717092238366,145932.85241481877,141552.73079608136,0.9983022212982178
2012-06-20,55.48272705078125,Hold,0,2677,56.129717092238366,147926.15690514003,143486.4669788846,0.9989215135574341
